Symboling,NormalizedLosses,Make,FuelType,Aspiration,NumOfDoors,BodyStyle,DriveWheels,EngineLocation,WheelBase,Length,Width,Height,CurbWeight,EngineType,NumOfCylinders,EngineSize,FuelSystem,Bore,Stroke,CompressionRatio,Horsepower,PeakRPM,CityMPG,HighwayMPG,Price,id,name,changedOn,changedById,changedByName,deleted
3,?,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,13495,6d4f5c9a-c127-4c98-9974-8e396e2f866a,alfa-romero gas std convertible,,,,FALSE
3,?,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,16500,1a4319ae-7dae-4575-a653-a8b194f0efe3,alfa-romero gas std convertible,,,,FALSE
1,?,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,19,26,16500,483a8ee7-4e88-4d53-81ad-e73262a12be4,alfa-romero gas std hatchback,,,,FALSE
2,164,audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,24,30,13950,04ea60c8-8681-408a-b045-15a629aab969,audi gas std sedan,,,,FALSE
2,164,audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,18,22,17450,189e30c6-6812-4e0c-a538-7cdc0b4ec5e0,audi gas std sedan,,,,FALSE
2,?,audi,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250,b8146755-6ebb-4c36-8f5c-f5ac0e8bf4c3,audi gas std sedan,,,,FALSE
1,158,audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710,e21834d0-3e79-4042-9f66-699753bd9456,audi gas std sedan,,,,FALSE
1,?,audi,gas,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920,9ac4b76a-c3c2-4b28-839d-3797197aa189,audi gas std wagon,,,,FALSE
1,158,audi,gas,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875,a8178801-1c98-4685-aba4-ad508675271d,audi gas turbo sedan,,,,FALSE
0,?,audi,gas,turbo,two,hatchback,4wd,front,99.5,178.2,67.9,52,3053,ohc,five,131,mpfi,3.13,3.4,7,160,5500,16,22,?,a71846dd-210c-4082-b952-129168184554,audi gas turbo hatchback,,,,FALSE
2,192,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430,ef7d25c9-3f96-4ad3-aa96-29ef4d2af60e,bmw gas std sedan,,,,FALSE
0,192,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925,ed564c43-d904-43d5-9267-7400ac052566,bmw gas std sedan,,,,FALSE
0,188,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,20970,17387d74-0dcd-4902-b078-bacba2deb124,bmw gas std sedan,,,,FALSE
0,188,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,21105,b267740e-0145-412c-878e-5bd391bd312e,bmw gas std sedan,,,,FALSE
1,?,bmw,gas,std,four,sedan,rwd,front,103.5,189,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,20,25,24565,ac2d088c-b631-42b4-a29d-906f08f81ffd,bmw gas std sedan,,,,FALSE
0,?,bmw,gas,std,four,sedan,rwd,front,103.5,189,66.9,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,30760,4c3c90ae-cacb-4ea8-a35b-bc6820916ab5,bmw gas std sedan,,,,FALSE
0,?,bmw,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,41315,9b221676-4338-4ec7-a894-2a8df65aea53,bmw gas std sedan,,,,FALSE
0,?,bmw,gas,std,four,sedan,rwd,front,110,197,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15,20,36880,5582be63-20c7-4c25-ad14-1f16be712fcc,bmw gas std sedan,,,,FALSE
2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151,0cf3a9c7-5a91-4f0c-9dd4-4b542e88dbd5,chevrolet gas std hatchback,,,,FALSE
1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295,51e5dab7-4a14-4c4d-817f-1334655a4c6c,chevrolet gas std hatchback,,,,FALSE
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575,3cf80229-6e7d-4177-b99c-710b1e5c2b74,chevrolet gas std sedan,,,,FALSE
1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572,7d4f263c-a8d0-4054-ace0-55b32b259c64,dodge gas std hatchback,,,,FALSE
1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377,0e42ab59-3218-4162-ab8c-ad1827a27a78,dodge gas std hatchback,,,,FALSE
1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957,d3f0c90d-fb32-46ea-84be-2772d6e4170b,dodge gas turbo hatchback,,,,FALSE
1,148,dodge,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,a2eeb714-4f11-4f3a-abf6-46f49eb1fd7b,dodge gas std hatchback,,,,FALSE
1,148,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,2a42b109-3068-4c8f-a6f1-18bc8a708836,dodge gas std sedan,,,,FALSE
1,148,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,7b55a549-12ce-40f0-be9a-64eeaf4c47a1,dodge gas std sedan,,,,FALSE
1,148,dodge,gas,turbo,?,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558,794ec7a5-5236-46b3-9aa2-e5ef86ad46b1,dodge gas turbo sedan,,,,FALSE
-1,110,dodge,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921,05eb98e6-48a0-45d4-aa2f-5bef6fb19e89,dodge gas std wagon,,,,FALSE
3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,four,156,mfi,3.6,3.9,7,145,5000,19,24,12964,766d2e16-2a92-4d90-9546-2249e7620a8c,dodge gas turbo hatchback,,,,FALSE
2,137,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479,b77e48e1-b2d1-4c78-8053-833b1eb3db85,honda gas std hatchback,,,,FALSE
2,137,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855,e4fe9cac-214c-4f64-8183-b34ad8d3ce24,honda gas std hatchback,,,,FALSE
1,101,honda,gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399,dc78c689-a601-4bf1-ae89-4b1513dc95c3,honda gas std hatchback,,,,FALSE
1,101,honda,gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529,9bbcd145-4f18-4ad7-bb2f-76f364e418ab,honda gas std hatchback,,,,FALSE
1,101,honda,gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129,c5b26495-fc5f-4dfb-9cb7-8c93f19625ca,honda gas std hatchback,,,,FALSE
0,110,honda,gas,std,four,sedan,fwd,front,96.5,163.4,64,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295,329765ff-2c91-40fa-acfe-73b191d2bd83,honda gas std sedan,,,,FALSE
0,78,honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295,4773060e-2a79-4944-be92-a23f87629d01,honda gas std wagon,,,,FALSE
0,106,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,7895,07072ccc-2102-42e7-ae4e-db92cce91f9b,honda gas std hatchback,,,,FALSE
0,106,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,9095,afbc71ad-bd5a-4d35-b29e-5a22fd1935f5,honda gas std hatchback,,,,FALSE
0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8845,6e549e84-7de4-4061-a7ca-76c046cc2d4c,honda gas std sedan,,,,FALSE
0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,10295,11647b58-82e4-49cd-8a36-00348bf617bd,honda gas std sedan,,,,FALSE
0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,24,28,12945,b3cad4b8-3b55-4221-9b78-ab65e8ea1794,honda gas std sedan,,,,FALSE
1,107,honda,gas,std,two,sedan,fwd,front,96.5,169.1,66,51,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345,f419dfff-ccff-4082-8e27-4c5973c98c94,honda gas std sedan,,,,FALSE
0,?,isuzu,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785,35d0d609-1520-4e92-a0fa-d4fbbe49c0e1,isuzu gas std sedan,,,,FALSE
1,?,isuzu,gas,std,two,sedan,fwd,front,94.5,155.9,63.6,52,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,?,6cdfac5b-8cb8-40db-bbac-973c6115db17,isuzu gas std sedan,,,,FALSE
0,?,isuzu,gas,std,four,sedan,fwd,front,94.5,155.9,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,?,c8499c6b-e548-4b31-b2db-fa5dfb126788,isuzu gas std sedan,,,,FALSE
2,?,isuzu,gas,std,two,hatchback,rwd,front,96,172.6,65.2,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048,8dd77cef-cf81-4953-93f3-c8a3617769ca,isuzu gas std hatchback,,,,FALSE
0,145,jaguar,gas,std,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250,ea5de902-bbac-454c-bb05-71185b5d9ad5,jaguar gas std sedan,,,,FALSE
0,?,jaguar,gas,std,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550,baa9c186-8207-4782-bb0f-a1e7f07a4635,jaguar gas std sedan,,,,FALSE
0,?,jaguar,gas,std,two,sedan,rwd,front,102,191.7,70.6,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000,cbb78053-2fb0-42c5-b4bd-6acd8ec1df83,jaguar gas std sedan,,,,FALSE
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9,68,5000,30,31,5195,6720dd1a-3a86-4ff9-9081-ee2b14a3ec6e,mazda gas std hatchback,,,,FALSE
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6095,7d5cf072-ab4f-4a9d-9d8a-956d7f2ef6c0,mazda gas std hatchback,,,,FALSE
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6795,67774412-c2e2-43f8-a35f-5cef0ab33c8e,mazda gas std hatchback,,,,FALSE
1,113,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6695,69f2377b-69a3-4660-9c78-37753af5bf77,mazda gas std sedan,,,,FALSE
1,113,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9,68,5000,31,38,7395,0718239f-acbe-41c6-952e-8b84f82eb163,mazda gas std sedan,,,,FALSE
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,169,65.7,49.6,2380,rotor,two,70,4bbl,?,?,9.4,101,6000,17,23,10945,5dde4f0f-86b0-4144-a83f-7842b7b6e042,mazda gas std hatchback,,,,FALSE
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,169,65.7,49.6,2380,rotor,two,70,4bbl,?,?,9.4,101,6000,17,23,11845,1756c11c-0785-423d-8463-efe2e0b83ebb,mazda gas std hatchback,,,,FALSE
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,169,65.7,49.6,2385,rotor,two,70,4bbl,?,?,9.4,101,6000,17,23,13645,ef99612a-e712-4d22-98ab-9a25eb31175f,mazda gas std hatchback,,,,FALSE
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,169,65.7,49.6,2500,rotor,two,80,mpfi,?,?,9.4,135,6000,16,23,15645,f249b291-b61e-49ea-a2d7-65d755091c9b,mazda gas std hatchback,,,,FALSE
1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845,829cb080-a046-41cb-ac9e-0fb1e26b7062,mazda gas std hatchback,,,,FALSE
0,115,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495,3275ed16-b6f4-4ad9-8b2c-a9c91af46447,mazda gas std sedan,,,,FALSE
1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595,9b07a51b-8972-425e-9e7e-8317b84ca939,mazda gas std hatchback,,,,FALSE
0,115,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245,2240f33d-9692-46b9-9c75-1453e0544cf5,mazda gas std sedan,,,,FALSE
0,?,mazda,diesel,std,?,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,36,42,10795,206f2dd2-96c0-4dfb-9f61-878eb2d6d13a,mazda diesel std sedan,,,,FALSE
0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245,516979be-9468-40b5-85e1-3c32f38cc229,mazda gas std hatchback,,,,FALSE
0,118,mazda,gas,std,four,sedan,rwd,front,104.9,175,66.1,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8,120,5000,19,27,18280,61127fc5-4cf2-473c-8451-f25bfb12134a,mazda gas std sedan,,,,FALSE
0,?,mazda,diesel,std,four,sedan,rwd,front,104.9,175,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22,72,4200,31,39,18344,91b48a96-545a-453c-bafa-795020e60ed0,mazda diesel std sedan,,,,FALSE
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110,190.9,70.3,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,25552,238647e4-ada3-4982-9c1d-d397feb90a61,mercedes-benz diesel turbo sedan,,,,FALSE
-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110,190.9,70.3,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28248,d12d7690-8531-44c1-8c37-c2db9bf60929,mercedes-benz diesel turbo wagon,,,,FALSE
0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28176,754c67a7-ae35-4e33-bab5-3140348e10a7,mercedes-benz diesel turbo hardtop,,,,FALSE
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,31600,e512a6f4-f5ef-4b31-80e1-2fb6247543fd,mercedes-benz diesel turbo sedan,,,,FALSE
-1,?,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,34184,68278965-ed0e-46db-a6b5-f224c2f730f1,mercedes-benz gas std sedan,,,,FALSE
3,142,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056,b55cb181-b799-492f-b03e-43f470bf5cc4,mercedes-benz gas std convertible,,,,FALSE
0,?,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8,184,4500,14,16,40960,10eb4405-f3bd-4ea3-8dfb-b3ca4e719754,mercedes-benz gas std sedan,,,,FALSE
1,?,mercedes-benz,gas,std,two,hardtop,rwd,front,112,199.2,72,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8,184,4500,14,16,45400,f1a97d7f-5afd-4516-aae5-3af8abc1eb4e,mercedes-benz gas std hardtop,,,,FALSE
1,?,mercury,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8,175,5000,19,24,16503,d465d35c-e0fe-41cb-afd5-a50dcd253070,mercury gas turbo hatchback,,,,FALSE
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389,fdf7c1f0-7919-44e3-b13f-b3b07903af3c,mitsubishi gas std hatchback,,,,FALSE
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189,fd842277-5c00-44ea-8eb1-1b6913d6eed0,mitsubishi gas std hatchback,,,,FALSE
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669,76c391c7-f854-42b4-8fe2-14cf6fc4323a,mitsubishi gas std hatchback,,,,FALSE
1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93,157.3,63.8,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689,4f957d8d-0ee7-4a7d-b134-d7245784ad61,mitsubishi gas turbo hatchback,,,,FALSE
3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959,0eb87687-5c13-4245-951e-13c44dc67c9b,mitsubishi gas turbo hatchback,,,,FALSE
3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499,073aa955-f3e4-4c85-bede-f25453d765b1,mitsubishi gas std hatchback,,,,FALSE
3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,four,156,spdi,3.58,3.86,7,145,5000,19,24,12629,886f6ac5-39d8-4170-be7d-59c66a154334,mitsubishi gas turbo hatchback,,,,FALSE
3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,14869,1a9143af-0749-42ac-9e05-420f69a9c79f,mitsubishi gas turbo hatchback,,,,FALSE
3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,14489,077788bc-be68-42de-a163-f2592ff0ef96,mitsubishi gas turbo hatchback,,,,FALSE
1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989,5fa7b009-7984-4f26-852b-e5ec9fd5b130,mitsubishi gas std sedan,,,,FALSE
1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189,4f014ead-f7de-459d-a015-c068b3ddda91,mitsubishi gas std sedan,,,,FALSE
1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,656b0c55-9394-4ace-b9d5-de3d94eaf8b3,mitsubishi gas turbo sedan,,,,FALSE
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,c2c118f3-f40a-4a28-9620-42d5df45b5bb,mitsubishi gas std sedan,,,,FALSE
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499,c2a83507-4c6f-4ab1-9dc8-1ea37a626c1f,nissan gas std sedan,,,,FALSE
1,128,nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,50,7099,2b3f59b7-0265-4a28-acde-e58038ff9bd1,nissan diesel std sedan,,,,FALSE
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649,e86e67c6-d9b2-4021-90c1-03a29a2a5490,nissan gas std sedan,,,,FALSE
1,122,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849,787bc0f7-994b-40a7-9728-40919afddc20,nissan gas std sedan,,,,FALSE
1,103,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349,fa171f40-db92-4d86-8aa9-82ec87da9ac5,nissan gas std wagon,,,,FALSE
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299,180245e5-96bf-4049-b52d-238d6e6fcc74,nissan gas std sedan,,,,FALSE
1,128,nissan,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799,67beee56-84f1-4448-aacd-71d26e1e1ba1,nissan gas std hatchback,,,,FALSE
1,122,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499,8823c8b0-c054-4992-8713-33a2607ec8e9,nissan gas std sedan,,,,FALSE
1,103,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999,1d1f868f-2c9a-4f57-b863-4ab2ae584d5d,nissan gas std wagon,,,,FALSE
2,168,nissan,gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249,be4a5f0e-9b35-4131-b084-33a39325b958,nissan gas std hardtop,,,,FALSE
0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949,3c60edfc-9bc3-461b-8ff7-6a1a9c98acd1,nissan gas std hatchback,,,,FALSE
0,106,nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549,88fbae65-08a5-4564-8930-af7545ff3c97,nissan gas std sedan,,,,FALSE
